Дискорд Минюста: https://discord.gg/3FaMemZnk8,,,,,,,,,,
Всё о регистрации территории: https://discord.com/channels/832651103556075570/1312363301195485204,,,,,,,,,,
РЕЕСТР ЗАРЕГИСТРИРОВАННЫХ ГОРОДОВ,,,,,,,,,,
ОБЩАЯ ХАРАКТЕРИСТИКА,,,,КООРДИНАТЫ,,,,,РЕГИСТРАЦИЯ,
Траходром,Самая базированная база на всем сп,TonyBunGas,TonyBunGas,-7500,-15300,700,-839,-1919,14.03.2025,ЛОЖЬ
Фишбург,"Город для настоящих искателей приключений,если ты всегда жаждал стать частью пиратской команды то тебе к нам!",Strogo_Tilt,Strogo_Tilt,-15343,495,2000,-1925,52,24.06.2023,ИСТИНА
Дальний Татуин,"Город, выполненный в стиле оригинальной планеты Татуин.",Juzzoo_,Juzzoo_,10771,-12125,750,1353,-1522,14.06.2022,ИСТИНА
Хайграунд,"Морской футуристический город, с уникальной стилистикой",_Der1se_,_Der1se_,-5900,3800,2000,-720,375,03.06.2022,ИСТИНА
Твинс,,_Tw1n,_Tw1n,8296,13222,2000,1031,1683,08.06.2022,ИСТИНА
Гринтек,"""Город в стиле гринпанк, с живописными парками и озерами, красивыми лесами и горами. Здесь возможно все!""",Lurr1k,Lurr1k,-2046,20434,2000,-258,2555,14.03.2025,ЛОЖЬ
Трард,,Lelush_Hogwarts,Lelush_Hogwarts,2000,-2000,2000,222,-227,14.03.2025,ЛОЖЬ
Equestria,"Одиночество заключается вовсе не в том, что никого нет рядом, суть его в невозможности донести до других то, что тебе представляется важным, или отсутствии единомышленников. Знающий больше других всегда остается одиноким. Тем не менее одиночество вовсе не исключает общения, ибо никто так не нуждается в общении, как одинокий человек, причем общение приносит плоды именно там, где каждый помнит о своей индивидуальности, не идентифицируя себя с другими.",_Dimaty_,_Dimaty_,21300,35500,2000,2792,4537,19.12.2024,ЛОЖЬ
Шушары,Постсоветское пространство с ориентиром на 200Х года,C0RQI,C0RQI,-980,5400,400,-123,674,06.06.2024,ИСТИНА
Эльфейм,Разьеб. Город топ вступайте). Здесь живет Лера Фовна,lIl_Kuzi,lIl_Kuzi,-1332,-838,320,-160,-100,22.05.2024,ЛОЖЬ
Территория _Kaunt,"ДнД зона клуба Шест Рыболовства
",_Kaunt,_Kaunt,2800,4500,1000,350,555,03.06.2022,ИСТИНА
Green Hills,Город Соник,S0undt3st,S0undt3st,-6712,-15933,500,837,-1991,19.03.2025,ИСТИНА
Подкачайск,Жирный уебан,Onfi_,Onfi_,-9256,420,500,-1159,52,19.03.2025,ЛОЖЬ
Охуэлос,,Catogg_,Catogg_,3980,17075,1500,500,2130,07.10.2022,ЛОЖЬ
Терра мономри,,monomri,monomri,-20000,10000,2000,-2500,1250,22.03.2025,ЛОЖЬ
Яоймото,,NastyaPro2008,NastyaPro2008,-8985,-1732,600,-1132,-318,23.03.2025,ЛОЖЬ
Чиллен,Чиллен - город абсолютного зачилла.,Mortemi,Mortemi,20105,-5463,500,2515,-683,25.03.2025,ЛОЖЬ
Свастонград,Центр производства ядерного калла,Serpow,Serpow,-9450,32000,1250,-1231,4000,28.03.2025,ЛОЖЬ
Амнямград,"rАмнямград - это чарующий город с уникальной атмосферой, расположенный среди холмов. Крутое описание?",vozhak,vozhak,4600,-7800,400,596,-984,28.03.2025,ЛОЖЬ
ХУИТЕНЬ,ЕБНУТАЯ ХУЙНЯ,XYUH9I,XYUH9I,-23,3967,300,-16,485,29.03.2025,ЛОЖЬ
КотиДоми,Город с кошачьими домиками из ирл,AndreykaBurka,AndreykaBurka,-4252,752,350,-517,93,30.03.2025,ЛОЖЬ
Геленджик,Город в стилистике СССР - Sci fi,5opka,5opka,-6020,7350,1000,-740,900,12.07.2022,ЛОЖЬ
Альбион,Тихий пригород Лондона 20 -21 века. Известен своим большим и необъятным м.,5opka,5opka,7044,12208,500,875,1523,13.04.2024,ЛОЖЬ
Rosa,"Красивый, небольшой город одноимённой организации ""Rosa""",5opka,5opka,-400,-8000,350,-48,-996,06.01.2023,ЛОЖЬ
База Yor1nn,Остров пиратиков и драконов,5opka,5opka,-19246,-2015,1000,-2400,-400,09.10.2022,ЛОЖЬ
база Ra1ZZZeN,Город в стиле Германии,5opka,5opka,-17773,-5324,1000,-2222,-666,28.02.2023,ЛОЖЬ
НАХОДКА,,5opka,5opka,-300,-7300,300,-37,-918,08.03.2024,ЛОЖЬ
С ЗОМБИБВЕ С,,5opka,5opka,7279,9815,300,910,1217,08.03.2024,ЛОЖЬ
Грибная Трубка,Стоим на грибном острове в форме трубки ^^:3,Arfelias,Arfelias,-9000,-35500,2000,-1125,-4470,31.03.2025,ЛОЖЬ
залупачка,залупачес,SeyFox_L0ver,SeyFox_L0ver,11088,7817,1250,1385,966,11.04.2025,ЛОЖЬ
Яхтинск,"Город, который состоит из яхт! Любовь к морю, яхтам и свежему воздуху создала его",xeve9,xeve9,-1111,11400,1000,138,1554,14.04.2025,ЛОЖЬ
Dequa,*тут пусто*,Ap5ent,Ap5ent,16000,-1251,1000,2011,-156,14.04.2025,ЛОЖЬ
ПРОСТРАНСТВО  ЙОУ,Пространство с кубами,ThePristol,ThePristol,10470,-782,1000,1320,-100,14.04.2025,ЛОЖЬ
ImpCity,база импов для крутых ивентов,kabodua,kabodua,-2000,-16000,1250,-250,-2008,14.04.2025,ИСТИНА
Catbox,анархо-город,rxndr,rxndr,3134,-4303,200,399,-531,16.04.2025,ЛОЖЬ
Культ Омега,Культ,Riktori,Riktori,8082,-5698,1000,950,-613,18.04.2025,ИСТИНА
город жоперов,Реально?дабл Ар,Aboldui,Aboldui,9867,6491,1500,1233,838,22.04.2025,ЛОЖЬ
Тайтон,"Город в стиле ""Звёздные войны"" Планета на которой появились первые джедаи и так же здесь основали ""Орден джедаев""",_Koja,_Koja,1000,28500,1000,125,3560,06.05.2024,ЛОЖЬ
Гильдия артоделов,Запреточка,Nemo_Andrusha07,Nemo_Andrusha07,595,8470,250,74,1058,23.04.2025,ЛОЖЬ
Гаулиц,Место реальных гениев,deniskamt,deniskamt,-11300,9610,1000,-1430,1190,23.04.2025,ЛОЖЬ
КСЕПОМСКАЯ ИМПЕРИЯ,БЛА БЛА БЛА БЛА БЛЕ БЛЕ БЛЕ БЛЮ БЛЮ БЛЮ,XEPOM,XEPOM,1418,11053,700,170,1389,25.04.2025,ИСТИНА
КОЛБАСА,ААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА,CHUGUN53,CHUGUN53,3841,11028,512,482,1376,25.04.2025,ЛОЖЬ
Нефилим,Мистический уютный городок,Septole,Septole,647,35037,1500,80,4379,27.04.2025,ЛОЖЬ
XII Legion,Пиццебашня XII,Sicilian_Shooter,Sicilian_Shooter,6227,-5000,200,784,-624,27.04.2025,ЛОЖЬ
Бордер-Бей,Город заточенный для рп,Nyc_Nerecurcniy,Nyc_Nerecurcniy,-12202,-3761,600,-1572,-460,28.04.2025,ЛОЖЬ
MidMarket,-,Maidons,Maidons,-172,-2368,320,-31,-300,01.05.2025,ИСТИНА
Otso City,Cтолица страны.,psina_sytylaya,psina_sytylaya,-15,3990,2000,5,512,08.05.2025,ЛОЖЬ
Моряковский Затон,"Активно развивающийся ПГТ.
Стиль - Россия",MrKefish,MrKefish,-6100,17000,1500,-762,2125,09.05.2025,ЛОЖЬ
MidMarket,-,Maidons,Maidons,647,-31912,320,80,-3990,09.05.2025,ЛОЖЬ
ZAVOZ,Город завоза и хайпа,Aventadorr_,krolvech,10458,8509,1000,1312,1061,11.05.2025,ЛОЖЬ
Новелларис,"Новелларис - город звёзд. Высоко в небесах, среди мерцающих туманностей и плывущих островов, парит Новелларис",nomeckfessel,nomeckfessel,1032,11484,1500,124,1435,11.05.2025,ЛОЖЬ
АМТ,"Братишка, это тебе не московская шпана, понял, или не басота с питера...Жизнь борцам, вечная",blsssd_yoshimura,blsssd_yoshimura,-5400,-700,52,-691,-77,12.05.2025,ИСТИНА
